,date,wti,open,high,low,volume,wti_cr
672,2022-07-19,104.22,102.0,104.46,99.85,63.15K,+1.58%
673,2022-07-20,102.26,103.6,104.39,101.51,28.96K,-1.88%
674,2022-07-21,96.35,99.91,99.99,94.59,318.91K,-5.78%
675,2022-07-22,94.7,96.51,97.95,94.23,307.57K,-1.71%
676,2022-07-25,96.7,95.1,96.94,93.01,279.00K,+2.11%
677,2022-07-26,94.98,96.33,99.0,94.76,310.04K,-1.78%
678,2022-07-27,97.26,95.6,98.59,94.3,321.90K,+2.40%
679,2022-07-28,96.42,98.17,99.84,96.04,318.40K,-0.86%
680,2022-07-29,98.62,97.3,101.88,96.41,349.37K,+2.28%
681,2022-08-01,93.89,98.46,98.65,92.42,365.29K,-4.80%
682,2022-08-02,94.42,93.75,96.47,92.59,328.54K,+0.56%
683,2022-08-03,90.66,93.83,96.57,90.38,395.10K,-3.98%
684,2022-08-04,88.54,90.95,91.9,87.55,334.93K,-2.34%
685,2022-08-05,89.01,88.06,90.76,87.01,350.02K,+0.53%
686,2022-08-08,90.76,88.46,90.89,87.22,340.16K,+1.97%
687,2022-08-09,90.5,90.69,92.65,89.05,347.05K,-0.29%
688,2022-08-10,91.93,90.51,92.43,87.66,383.77K,+1.58%
689,2022-08-11,94.34,91.55,95.05,91.24,341.23K,+2.62%
690,2022-08-12,92.09,94.09,94.81,91.16,264.95K,-2.38%
691,2022-08-15,89.41,91.94,92.1,86.82,275.44K,-2.91%
692,2022-08-16,86.53,87.93,90.65,85.73,305.37K,-3.22%
693,2022-08-17,88.11,87.1,89.16,85.88,230.35K,+1.83%
694,2022-08-18,90.5,87.39,91.46,87.32,80.03K,+2.71%
695,2022-08-19,90.77,90.39,92.09,88.38,58.71K,+0.30%
696,2022-08-22,90.23,89.65,91.26,86.6,24.87K,-0.59%
697,2022-08-23,93.74,90.55,94.22,90.42,285.61K,+3.89%
698,2022-08-24,94.89,93.78,95.4,92.79,320.39K,+1.23%
699,2022-08-25,92.52,95.35,95.76,92.29,279.88K,-2.50%
700,2022-08-26,93.06,93.06,94.02,91.08,288.39K,+0.58%
701,2022-08-29,97.01,92.96,97.37,92.29,283.46K,+4.24%
702,2022-08-30,91.64,96.9,97.66,90.54,386.27K,-5.54%
703,2022-08-31,89.55,92.31,92.73,88.27,344.15K,-2.28%
704,2022-09-01,86.61,88.83,89.63,85.98,305.11K,-3.28%
705,2022-09-02,86.87,86.56,89.66,86.35,277.53K,+0.30%
706,2022-09-04,88.25,86.91,88.28,86.91,,+1.59%
707,2022-09-05,88.96,88.27,90.37,87.98,,+0.80%
708,2022-09-06,86.88,86.84,90.39,86.18,420.26K,-2.34%
709,2022-09-07,81.94,86.93,87.76,81.5,380.78K,-5.69%
710,2022-09-08,83.54,81.91,84.25,81.2,342.76K,+1.95%
711,2022-09-09,86.79,82.8,87.2,82.71,305.19K,+3.89%
