,date,kospi,open,high,low,volume,kospi_cr
265,2023-01-27,2484.02001953125,2474.52001953125,2497.39990234375,2464.530029296875,509100,0.62%
266,2023-01-30,2450.469970703125,2484.639892578125,2491.1298828125,2446.590087890625,475100,-1.35%
267,2023-01-31,2425.080078125,2449.919921875,2457.47998046875,2423.3701171875,616900,-1.04%
268,2023-02-01,2449.800048828125,2446.030029296875,2453.2900390625,2433.3701171875,666100,1.02%
269,2023-02-02,2468.8798828125,2481.93994140625,2486.199951171875,2454.60009765625,692800,0.78%
270,2023-02-03,2480.39990234375,2466.5400390625,2485.080078125,2460.2099609375,496600,0.47%
271,2023-02-06,2438.18994140625,2461.820068359375,2469.419921875,2438.0400390625,566600,-1.70%
272,2023-02-07,2451.7099609375,2440.139892578125,2456.169921875,2432.39990234375,446600,0.55%
273,2023-02-08,2483.639892578125,2469.419921875,2487.35009765625,2465.9599609375,414800,1.30%
274,2023-02-09,2481.52001953125,2470.659912109375,2487.139892578125,2466.610107421875,609400,-0.09%
275,2023-02-10,2469.72998046875,2470.64990234375,2473.800048828125,2454.739990234375,656900,-0.48%
276,2023-02-13,2452.699951171875,2461.9599609375,2462.580078125,2440.860107421875,485500,-0.69%
277,2023-02-14,2465.639892578125,2471.330078125,2480.340087890625,2459.830078125,348800,0.53%
278,2023-02-15,2427.89990234375,2473.090087890625,2473.43994140625,2424.159912109375,386500,-1.53%
279,2023-02-16,2475.47998046875,2444.06005859375,2475.989990234375,2442.070068359375,387600,1.96%
280,2023-02-17,2451.2099609375,2447.659912109375,2471.510009765625,2445.739990234375,513600,-0.98%
281,2023-02-20,2455.1201171875,2453.25,2463.169921875,2430.27001953125,390000,0.16%
282,2023-02-21,2458.9599609375,2457.510009765625,2466.070068359375,2446.0,494300,0.16%
283,2023-02-22,2417.679931640625,2430.8701171875,2435.97998046875,2416.159912109375,426700,-1.68%
