,date,ixut,open,high,low,volume,ixut_cr
287,2023-04-27,389.0,380.5400085449219,389.5,379.5899963378906,142100,3.51%
288,2023-04-28,392.2300109863281,386.3599853515625,392.7799987792969,385.760009765625,124700,0.83%
289,2023-05-01,392.2900085449219,393.75,394.3999938964844,392.0199890136719,98300,0.02%
290,2023-05-02,385.05999755859375,390.04998779296875,390.04998779296875,383.0899963378906,139400,-1.84%
291,2023-05-03,382.80999755859375,386.04998779296875,387.3900146484375,382.7799987792969,119000,-0.58%
292,2023-05-04,380.3900146484375,382.0,382.54998779296875,379.69000244140625,131200,-0.63%
293,2023-05-05,384.1499938964844,382.8900146484375,384.8800048828125,380.7200012207031,142000,0.99%
294,2023-05-08,384.9599914550781,385.17999267578125,385.2799987792969,383.0,100300,0.21%
295,2023-05-09,380.0199890136719,382.7300109863281,382.7300109863281,379.54998779296875,193600,-1.28%
296,2023-05-10,381.17999267578125,382.3999938964844,382.7200012207031,377.32000732421875,134400,0.31%
297,2023-05-11,381.4700012207031,381.0799865722656,382.5799865722656,380.1499938964844,127200,0.08%
298,2023-05-12,382.010009765625,382.0799865722656,382.6099853515625,380.2200012207031,116700,0.14%
299,2023-05-15,384.6400146484375,382.760009765625,384.9200134277344,381.17999267578125,100500,0.69%
300,2023-05-16,380.75,383.7200012207031,384.07000732421875,380.3299865722656,113600,-1.01%
301,2023-05-17,383.2099914550781,382.30999755859375,383.7200012207031,379.4100036621094,119700,0.65%
302,2023-05-18,385.54998779296875,377.489990234375,385.80999755859375,377.3699951171875,142000,0.61%
303,2023-05-19,387.44000244140625,387.4800109863281,390.05999755859375,386.54998779296875,120500,0.49%
304,2023-05-22,389.57000732421875,389.44000244140625,390.75,386.79998779296875,110200,0.55%
305,2023-05-23,386.6199951171875,388.4200134277344,390.75,386.5799865722656,108200,-0.76%
306,2023-05-24,382.42999267578125,386.6400146484375,386.7799987792969,382.1600036621094,109200,-1.08%
307,2023-05-25,377.20001220703125,377.07000732421875,379.8599853515625,376.44000244140625,177000,-1.37%
308,2023-05-26,381.75,377.7200012207031,382.6199951171875,376.57000732421875,148800,1.21%
