,date,dji_f,open,high,low,volume,dji_f_cr
296,2023-02-28,32682.0,32940.0,33021.0,32607.0,158685,-0.69%
297,2023-03-01,32693.0,32652.0,32864.0,32527.0,188692,0.03%
298,2023-03-02,33018.0,32845.0,33107.0,32639.0,163244,0.99%
299,2023-03-03,33414.0,33004.0,33430.0,32953.0,148708,1.20%
300,2023-03-06,33451.0,33399.0,33590.0,33354.0,135346,0.11%
301,2023-03-07,32864.0,33455.0,33512.0,32840.0,192151,-1.75%
302,2023-03-08,32813.0,32875.0,32939.0,32626.0,170993,-0.16%
303,2023-03-09,32259.0,32829.0,33002.0,32190.0,203238,-1.69%
304,2023-03-10,31918.0,32262.0,32434.0,31787.0,306881,-1.06%
305,2023-03-13,31830.0,32029.0,32366.0,31530.0,201523,-0.28%
306,2023-03-14,32161.0,31909.0,32311.0,31805.0,95686,1.04%
307,2023-03-15,31872.0,32160.0,32203.0,31428.0,59917,-0.90%
308,2023-03-16,32249.0,31850.0,32283.0,31566.0,39728,1.18%
309,2023-03-17,32106.30078125,32230.0,32351.0,31931.0,233502,-0.44%
310,2023-03-20,32456.0,32142.0,32510.0,31657.0,221270,1.09%
311,2023-03-21,32774.0,32474.0,32830.0,32441.0,136933,0.98%
312,2023-03-22,32258.0,32789.0,32994.0,32231.0,185803,-1.57%
313,2023-03-23,32319.0,32296.0,32733.0,32054.0,214720,0.19%
314,2023-03-24,32434.0,32381.0,32485.0,31945.0,193251,0.36%
315,2023-03-27,32631.0,32486.0,32770.0,32418.0,136405,0.61%
316,2023-03-28,32588.0,32667.0,32784.0,32486.0,120167,-0.13%
317,2023-03-29,32903.0,32622.0,32924.0,32616.0,135013,0.97%
318,2023-03-30,33044.0,32894.0,33123.0,32863.0,132068,0.43%
319,2023-03-31,33460.0,33039.0,33549.0,33003.0,136550,1.26%
320,2023-04-03,33786.0,33441.0,33821.0,33436.0,131790,0.97%
321,2023-04-04,33577.0,33766.0,33877.0,33455.0,138741,-0.62%
322,2023-04-05,33656.0,33626.0,33720.0,33503.0,138419,0.24%
323,2023-04-06,33659.0,33634.0,33716.0,33486.0,13566,0.01%
324,2023-04-10,33751.0,33699.0,33784.0,33508.0,109230,0.27%
325,2023-04-11,33852.0,33766.0,33953.0,33730.0,121326,0.30%
326,2023-04-12,33813.0,33881.0,34119.0,33760.0,170018,-0.12%
327,2023-04-13,34190.0,33788.0,34216.0,33747.0,142663,1.11%
328,2023-04-14,34037.0,34130.0,34275.0,33877.0,187280,-0.45%
329,2023-04-17,34129.0,34125.0,34148.0,33938.0,128275,0.27%
330,2023-04-18,34124.0,34123.0,34287.0,33928.0,140669,-0.01%
331,2023-04-19,34033.0,34104.0,34105.0,33942.0,124516,-0.27%
332,2023-04-20,33909.0,34014.0,34033.0,33802.0,147308,-0.36%
333,2023-04-21,33950.0,33899.0,33996.0,33809.0,145062,0.12%
334,2023-04-24,34001.0,33922.0,34024.0,33775.0,121541,0.15%
335,2023-04-25,33652.0,34006.0,34007.0,33643.0,179213,-1.03%
336,2023-04-26,33424.0,33726.0,33762.0,33347.0,184153,-0.68%
337,2023-04-27,33929.0,33444.0,33967.0,33421.0,173751,1.51%
338,2023-04-28,34200.0,33861.0,34236.0,33752.0,169860,0.80%
339,2023-05-01,34152.0,34216.0,34363.0,34106.0,109767,-0.14%
340,2023-05-02,33772.0,34111.0,34188.0,33520.0,194061,-1.11%
341,2023-05-03,33492.0,33752.0,33917.0,33400.0,184191,-0.83%
342,2023-05-04,33196.0,33392.0,33562.0,33004.0,219404,-0.88%
343,2023-05-05,33739.0,33190.0,33822.0,33173.0,152675,1.64%
344,2023-05-08,33685.0,33753.0,33848.0,33566.0,104597,-0.16%
345,2023-05-09,33637.0,33684.0,33726.0,33539.0,103170,-0.14%
346,2023-05-10,33602.0,33630.0,33854.0,33297.0,201173,-0.10%
347,2023-05-11,33371.0,33594.0,33683.0,33180.0,151677,-0.69%
348,2023-05-12,33355.0,33367.0,33544.0,33163.0,151677,-0.05%
349,2023-05-14,33310.0,33321.0,33323.0,33282.0,1686,-0.13%
